694.256	695.02	343.44	264.988	0.290495	0.134753	
695.229	695.768	345.427	267.358	0.295447	0.13882	
694.919	695.506	343.815	265.702	0.292786	0.140751	
694.311	694.909	344.033	266.438	0.300071	0.139555	
693.853	694.502	343.327	265.902	0.290911	0.135044	
694.479	695.063	343.869	266.805	0.296429	0.148315	
694.181	694.772	344.667	266.821	0.309661	0.151	
694.445	695.051	344.493	266.33	0.294117	0.141676	
694.353	694.878	344.566	265.873	0.290139	0.136244	
693.638	694.245	343.817	266.052	0.3027	0.150868	
694.131	694.793	343.979	266.054	0.299126	0.140691	
693.899	694.52	343.85	265.723	0.291013	0.139116	
694.875	695.454	343.732	266.059	0.292216	0.140326	
694.618	695.223	343.69	266.675	0.309355	0.149947	
694.567	695.208	343.046	266.352	0.296905	0.153459	
694.019	694.601	344.971	266.321	0.292316	0.137932	
694.393	695.027	344.205	266.133	0.297909	0.136681	
693.693	694.234	343.879	265.707	0.296517	0.14139	
694.464	695.116	343.946	266.071	0.298186	0.138123	
693.67	694.262	343.323	265.81	0.29199	0.143135	
694.099	694.728	343.369	266.546	0.296616	0.153402	
694.416	694.875	345.987	266.818	0.305211	0.138625	
694.351	695.09	342.779	264.985	0.295212	0.137407	
693.727	694.332	344.346	267.108	0.292961	0.142909	
694.264	694.926	342.556	266.339	0.296304	0.154786	
695.421	695.938	345.267	267.459	0.310224	0.154981	
693.75	694.34	343.523	266.402	0.2941	0.141085	
694.062	694.626	344.34	266.752	0.296508	0.150662	
695.059	695.637	344.909	266.289	0.291121	0.138055	
694.679	695.27	344.047	266.08	0.293683	0.141138	
694.384	694.986	343.069	266.448	0.295613	0.151581	
694.676	695.183	346.517	266.776	0.307073	0.137504	
693.804	694.563	342.389	265.34	0.29435	0.137663	
694.621	695.17	345.976	266.335	0.306629	0.137495	
695.182	695.838	341.986	266.657	0.30511	0.161861	
695.231	695.771	346.287	267.002	0.308701	0.140813	
694.2	694.877	342.675	265.593	0.293925	0.139989	
694.132	694.713	343.965	266.96	0.311854	0.155197	
694.341	694.834	345.738	266.731	0.306299	0.13682	
695.044	695.676	343.359	266.167	0.294552	0.139441	
694.205	694.779	343.921	266.012	0.291239	0.138704	
694.357	694.936	343.342	266.384	0.307481	0.156768	
693.705	694.232	345.577	266.611	0.306096	0.137526	
695.012	695.661	343.26	266.355	0.295033	0.151648	
694.498	695.078	343.481	266.604	0.307683	0.159223	
693.777	694.391	344.476	266	0.291301	0.139495	
694.198	694.774	343.889	266.051	0.297581	0.139031	
692.885	693.506	343.179	266.242	0.303441	0.148202	
694.419	694.962	344.438	266.91	0.29755	0.154337	
694.932	695.522	343.782	265.839	0.292308	0.140121	
